# Quelle: Destatis (Genesis), Bevölkerungstand zum 31.12.2020
# URL: https://www-genesis.destatis.de/genesis/online
# 12411-0012, Bevölkerung, Fortschreibung des Bevölkerungsstandes: Bundesländer, Stichtag, Altersjahre
Gebiet	00-04	05-14	15-34	35-59	60-79	80+	00+
Baden-Württemberg	5.48012	10.20757	26.71038	38.24789	22.86447	7.52	111.03043
Bayern	6.45711	11.73722	31.02234	46.02022	27.44905	8.71589	131.40183
Berlin	1.91322	3.31752	9.48668	12.76495	6.94609	2.21242	36.64088
Brandenburg	1.08304	2.30525	4.36169	9.08064	6.39345	2.08664	25.31071
Bremen	0.34066	0.60149	1.73022	2.25344	1.40177	0.47372	6.8013
Hamburg	0.9933	1.67269	4.93226	6.54183	3.25931	1.12539	18.52478
Hessen	3.05325	5.78413	14.72042	21.94493	13.20802	4.22079	62.93154
Mecklenburg-Vorpommern	0.66152	1.40508	2.95944	5.53612	4.21142	1.33416	16.10774
Niedersachsen	3.79454	7.27875	18.15315	27.30237	17.70324	5.80216	80.03421
Nordrhein-Westfalen	8.69901	16.40109	41.87386	61.4017	38.24996	12.63008	179.2557
Rheinland-Pfalz	1.94465	3.64373	9.1869	14.02583	9.24854	2.93426	40.98391
Saarland	0.41392	0.79908	2.11677	3.29888	2.43038	0.78088	9.83991
Sachsen	1.8037	3.65417	7.86243	13.51804	10.1112	3.61987	40.56941
Sachsen-Anhalt	0.88087	1.82952	3.93172	7.40952	5.8421	1.91311	21.80684
Schleswig-Holstein	1.29579	2.60861	6.29218	10.08825	6.62065	2.20327	29.10875
Thüringen	0.87668	1.84072	3.87248	7.22705	5.59374	1.7917	21.20237
Bundesgebiet	39.69138	75.08662	189.21292	286.66166	181.53339	59.36434	831.55031
