# Datenquelle:
# Robert Koch-Institut (SurvStat@RKI 2.0), https://survstat.rki.de, Abfragedatum: 08.10.2020; Datenstand: 2020-10-08 01:42:56; eigene Berechnung/eigene Darstellung
# Meldungen aller Krankheiten 2020 als Neuinfizierte und Inzidenz für die Kreise zur Rückrechnung der Populationsdaten, die das RKI benutzt,
# für eigene Inzidenz-Berechnungen mit RKI/NPGEO (ArcGis-Hub) Daten.
Bundesland	Abkürzung	Id	A00..04	A05..09	A10..14	A15..19	A20..24	A25..29	A30..34	A35..39	A40..44	A45..49	A50..54	A55..59	A60..64	A65..69	A70..74	A75..79	A80+	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A00+
Baden-Württemberg	BW	8	5.45062	5.03094	5.10373	5.54768	6.71695	7.31213	7.45126	7.12798	6.59509	7.15685	8.89675	8.76986	7.24706	5.99821	4.63510	4.76230	7.20138	5.45062	10.13467	27.02802	38.54653	22.64267	111.00375
Bayern	BY	9	6.38940	5.84674	5.76129	6.24983	7.66898	8.58084	8.84237	8.56573	8.02490	8.60240	10.71683	10.45316	8.59378	7.13771	5.76735	5.73101	8.31499	6.38940	11.60803	31.34202	46.36302	27.22985	131.24792
Berlin	BE	11	1.93234	1.71006	1.55305	1.48398	2.02016	2.80134	3.33561	2.92313	2.38404	2.20620	2.62286	2.62522	2.04167	1.82823	1.43171	1.68305	2.11227	1.93234	3.26311	9.64109	12.76145	6.98466	36.69468
Brandenburg	BB	12	1.08713	1.14610	1.11073	1.04937	0.90100	0.92191	1.54506	1.62012	1.51015	1.53836	2.07594	2.39654	2.04043	1.80957	1.06623	1.42685	1.97346	1.08713	2.25683	4.41734	9.14111	6.34308	25.21881
Bremen	HB	4	0.34028	0.29603	0.29612	0.31907	0.45010	0.49087	0.48848	0.43999	0.39805	0.41595	0.51743	0.49771	0.42241	0.36345	0.30879	0.31207	0.45522	0.34028	0.59215	1.74852	2.26913	1.40672	6.81204
Hamburg	HH	2	0.99947	0.85151	0.79536	0.80392	1.12172	1.46039	1.55763	1.41809	1.24553	1.20744	1.40412	1.26531	0.97844	0.80730	0.71864	0.76055	1.07710	0.99947	1.64687	4.94366	6.54049	3.26493	18.47261
Hessen	HE	6	3.05505	2.86048	2.86634	3.03202	3.66422	3.99740	4.12686	4.02329	3.83952	4.12547	5.14468	4.97872	4.09575	3.47594	2.80583	2.74888	4.04039	3.05505	5.72682	14.82050	22.11168	13.12640	62.88122
Mecklenburg-Vorpommern	MV	13	0.67491	0.70054	0.68037	0.66737	0.62919	0.66258	1.05568	1.02968	0.92538	0.91071	1.22946	1.49682	1.35499	1.23316	0.70308	0.86061	1.26684	0.67491	1.38091	3.01482	5.59205	4.15184	16.08142
Niedersachsen	NI	3	3.74968	3.56836	3.65409	4.06231	4.60393	4.75653	4.83760	4.67540	4.50352	5.13389	6.70936	6.55318	5.43766	4.69172	3.68921	3.76604	5.54368	3.74968	7.22245	18.26037	27.57535	17.58463	79.93670
Nordrhein-Westfalen	NW	5	8.66431	8.08529	8.17814	8.89365	10.47133	11.40670	11.45251	10.99014	10.36788	11.42078	14.83375	14.51256	12.19397	10.11929	7.82139	7.89327	12.16715	8.66431	16.26343	42.22419	62.12511	38.02792	179.47153
Rheinland-Pfalz	RP	7	1.92265	1.79909	1.79466	1.96355	2.29209	2.48453	2.53460	2.46243	2.31142	2.55172	3.37082	3.48573	2.96269	2.56033	1.82274	1.79972	2.82032	1.92265	3.59375	9.27477	14.18212	9.14548	40.93877
Saarland	SL	10	0.41034	0.39275	0.40106	0.43799	0.52043	0.58375	0.59692	0.57430	0.52824	0.57911	0.80413	0.87403	0.78606	0.67914	0.47626	0.46640	0.75795	0.41034	0.79381	2.13909	3.35981	2.40786	9.86888
Sachsen	SN	14	1.84422	1.85409	1.74251	1.67932	1.70920	1.86260	2.75202	2.66580	2.40201	2.39403	2.90405	3.23230	2.90194	2.91869	1.91060	2.45880	3.48757	1.84422	3.59660	8.00314	13.59819	10.19003	40.71969
Sachsen-Anhalt	ST	15	0.89756	0.91655	0.89369	0.87871	0.87401	0.91359	1.35828	1.33660	1.19177	1.31906	1.72132	1.96240	1.76583	1.66523	1.09530	1.33626	1.82164	0.89756	1.81024	4.02459	7.53115	5.86262	21.94794
Schleswig-Holstein	SH	1	1.29237	1.27485	1.31459	1.44548	1.58043	1.61921	1.67868	1.68221	1.65484	1.86988	2.54269	2.41130	1.94568	1.68961	1.43614	1.52315	2.07658	1.29237	2.58944	6.32380	10.16092	6.59458	29.03776
Thüringen	TH	16	0.90338	0.93636	0.88342	0.87809	0.86062	0.89029	1.34367	1.35724	1.20785	1.30176	1.60833	1.85821	1.70922	1.61258	1.05263	1.23533	1.69482	0.90338	1.81978	3.97267	7.33339	5.60976	21.33368
