# Datenquellen:
# 1) Robert Koch-Institut (SurvStat@RKI 2.0), https://survstat.rki.de, Abfragedatum: 22.09.2020; Datenstand: 2020-09-22 01:38:06; eigene Berechnung/eigene Darstellung
#    Meldungen aller Krankheiten 2020 als Neuinfizierte und Inzidenz für die Kreise zur Rückrechnung der Populationsdaten, die das RKI benutzt
#    für eigene Inzidenz-Berechnungen mit RKI/NPGEO (ArcGis-Hub) Daten.
#    Betrifft Spalten "A00-A04" bis "Einwohner in 100k (RKI SurvStat)"
# 2) Statistisches Bundesamt (Destatis), Genesis-Online, 12.09.2020; Datenlizenz by-2-0; eigene Berechnung/eigene Darstellung
#    Betrifft Spalten "Einwohner in 100k (Destatis Genesis)"
#    Web: https://www-genesis.destatis.de/genesis//online?operation=table&code=12411-0012&bypass=true&levelindex=1&levelid=1599941808956#abreadcrumb
# Datenlizenz by-2-0: https://www.govdata.de/dl-de/by-2-0
RKI NPGEO Kreis	SurvStat Kreis	Bundesland	Id	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	Einwohner in 100k (RKI SurvStat)	Einwohner in 100k (Destatis Genesis)
LK Ahrweiler	LK Ahrweiler	Rheinland-Pfalz	7131	0.05701	0.10648	0.27145	0.4497	0.31297	0.09966	1.29727	1.30086
LK Aichach-Friedberg	LK Aichach-Friedberg	Bayern	9771	0.07	0.12727	0.29702	0.49236	0.27536	0.07395	1.33596	1.34655
LK Alb-Donau-Kreis	LK Alb-Donau-Kreis	Baden-Württemberg	8425	0.09988	0.19281	0.46362	0.69885	0.39085	0.11446	1.96047	1.97076
LK Altenburger Land	LK Altenburger Land	Thüringen	16077	0.03345	0.06975	0.13652	0.3114	0.26882	0.08124	0.90118	0.89393
LK Altenkirchen	LK Altenkirchen	Rheinland-Pfalz	7132	0.05801	0.11598	0.28	0.45357	0.2913	0.08819	1.28705	1.28805
LK Altmarkkreis Salzwedel	LK Altmarkkreis Salzwedel	Sachsen-Anhalt	15081	0.03567	0.07258	0.14642	0.30847	0.21297	0.06154	0.83765	0.83173
LK Altötting	LK Altötting	Bayern	9171	0.0541	0.10087	0.2479	0.39155	0.24399	0.07369	1.1121	1.11516
LK Alzey-Worms	LK Alzey-Worms	Rheinland-Pfalz	7331	0.06339	0.11812	0.27983	0.47389	0.28598	0.07123	1.29244	1.29687
LK Amberg-Sulzbach	LK Amberg-Sulzbach	Bayern	9371	0.04485	0.0877	0.22941	0.37463	0.22723	0.06727	1.03109	1.03049
LK Ammerland	LK Ammerland	Niedersachsen	3451	0.05745	0.11559	0.26104	0.43836	0.28749	0.08078	1.24071	1.24859
